PMNUM,COUNTKEY,PMDESCRIPTION,DEPT_NAME,INTERVAL,total_labor_per_occurrence,total_labor_per_occ_capped,TASK_COUNT
PM175633,2026-07-28-PM175633,Equipment Service Daily Activity for Caleb Ray,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM175634,2026-07-28-PM175634,Equipment Service Daily Activity for Brie Kelley,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM175636,2026-07-28-PM175636,Equipment Service Daily Activity for Chris Carr,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM175641,2026-07-28-PM175641,Equipment Service Daily Activity for Kevin Turner,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM176664,2026-07-28-PM176664,Equipment Service Daily Activity for Ben Davidson,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM177636,2026-07-28-PM177636,Equipment Service Daily Activity for Brandon Acosta,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM177637,2026-07-28-PM177637,Equipment Service Daily Activity for Alan Harper,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM177638,2026-07-28-PM177638,Equipment Service Daily Activity for Nijal Wilcox,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM181241,2026-07-28-PM181241,Equipment Service Daily Activity for Jose Ramos,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM183248,2026-07-28-PM183248,Equipment Service Daily Activity for Jacob Barton,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM183426,2026-07-28-PM183426,Equipment Service Daily Activity for Tony Smith,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM183745,2026-07-28-PM183745,Equipment Service Daily Activity for Tyler Morgan,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM184695,2026-07-28-PM184695,Equipment Service Daily Activity for Dale Mckay,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM183426,2026-06-28-PM183426,Equipment Service Daily Activity for Tony Smith,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM192956,2026-07-28-PM192956,Equipment Service Daily Activity for Amari Johnson,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM196453,2026-07-28-PM196453,Equipment Service Daily Activity for Richard Cantrell,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM196498,2026-07-28-PM196498,Equipment Service Daily Activity for Garrett Webb,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM183248,2026-06-28-PM183248,Equipment Service Daily Activity for Jacob Barton,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM181241,2026-06-28-PM181241,Equipment Service Daily Activity for Jose Ramos,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM175638,2026-08-27-PM175638,Equipment Service Daily Activity for Eric Anderson,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM175636,2026-09-28-PM175636,Equipment Service Daily Activity for Chris Carr,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM176664,2026-09-28-PM176664,Equipment Service Daily Activity for Ben Davidson,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM176664,2026-05-28-PM176664,Equipment Service Daily Activity for Ben Davidson,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM175632,2026-11-28-PM175632,Equipment Service Daily Activity for Chris Nunnally,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM184695,2026-10-28-PM184695,Equipment Service Daily Activity for Dale Mckay,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM183745,2026-05-28-PM183745,Equipment Service Daily Activity for Tyler Morgan,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM192956,2026-10-28-PM192956,Equipment Service Daily Activity for Amari Johnson,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM196453,2026-10-28-PM196453,Equipment Service Daily Activity for Richard Cantrell,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM196498,2026-10-28-PM196498,Equipment Service Daily Activity for Garrett Webb,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM183426,2026-05-28-PM183426,Equipment Service Daily Activity for Tony Smith,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM183248,2026-05-28-PM183248,Equipment Service Daily Activity for Jacob Barton,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM175638,2026-11-27-PM175638,Equipment Service Daily Activity for Eric Anderson,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM181241,2026-05-28-PM181241,Equipment Service Daily Activity for Jose Ramos,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM177638,2026-05-28-PM177638,Equipment Service Daily Activity for Nijal Wilcox,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM177637,2026-05-28-PM177637,Equipment Service Daily Activity for Alan Harper,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM177636,2026-05-28-PM177636,Equipment Service Daily Activity for Brandon Acosta,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM175633,2026-11-28-PM175633,Equipment Service Daily Activity for Caleb Ray,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM177636,2026-09-28-PM177636,Equipment Service Daily Activity for Brandon Acosta,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM175634,2026-11-28-PM175634,Equipment Service Daily Activity for Brie Kelley,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM175636,2026-11-28-PM175636,Equipment Service Daily Activity for Chris Carr,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM175641,2026-11-28-PM175641,Equipment Service Daily Activity for Kevin Turner,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM175638,2026-07-27-PM175638,Equipment Service Daily Activity for Eric Anderson,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM177636,2026-11-28-PM177636,Equipment Service Daily Activity for Brandon Acosta,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM177637,2026-11-28-PM177637,Equipment Service Daily Activity for Alan Harper,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM177638,2026-11-28-PM177638,Equipment Service Daily Activity for Nijal Wilcox,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM181241,2026-11-28-PM181241,Equipment Service Daily Activity for Jose Ramos,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM183248,2026-11-28-PM183248,Equipment Service Daily Activity for Jacob Barton,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM183426,2026-11-28-PM183426,Equipment Service Daily Activity for Tony Smith,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM183745,2026-11-28-PM183745,Equipment Service Daily Activity for Tyler Morgan,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM184695,2026-11-28-PM184695,Equipment Service Daily Activity for Dale Mckay,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM183745,2026-10-28-PM183745,Equipment Service Daily Activity for Tyler Morgan,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM183426,2026-10-28-PM183426,Equipment Service Daily Activity for Tony Smith,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM183248,2026-10-28-PM183248,Equipment Service Daily Activity for Jacob Barton,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM181241,2026-10-28-PM181241,Equipment Service Daily Activity for Jose Ramos,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM177637,2026-09-28-PM177637,Equipment Service Daily Activity for Alan Harper,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM177638,2026-09-28-PM177638,Equipment Service Daily Activity for Nijal Wilcox,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM181241,2026-09-28-PM181241,Equipment Service Daily Activity for Jose Ramos,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM183248,2026-09-28-PM183248,Equipment Service Daily Activity for Jacob Barton,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM183426,2026-09-28-PM183426,Equipment Service Daily Activity for Tony Smith,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM183745,2026-09-28-PM183745,Equipment Service Daily Activity for Tyler Morgan,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM184695,2026-09-28-PM184695,Equipment Service Daily Activity for Dale Mckay,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM175638,2026-06-27-PM175638,Equipment Service Daily Activity for Eric Anderson,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM192956,2026-09-28-PM192956,Equipment Service Daily Activity for Amari Johnson,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM196453,2026-09-28-PM196453,Equipment Service Daily Activity for Richard Cantrell,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM196498,2026-09-28-PM196498,Equipment Service Daily Activity for Garrett Webb,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM175638,2026-10-27-PM175638,Equipment Service Daily Activity for Eric Anderson,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM196498,2026-05-28-PM196498,Equipment Service Daily Activity for Garrett Webb,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM196453,2026-05-28-PM196453,Equipment Service Daily Activity for Richard Cantrell,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM192956,2026-05-28-PM192956,Equipment Service Daily Activity for Amari Johnson,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM184695,2026-05-28-PM184695,Equipment Service Daily Activity for Dale Mckay,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM175632,2026-10-28-PM175632,Equipment Service Daily Activity for Chris Nunnally,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM175633,2026-10-28-PM175633,Equipment Service Daily Activity for Caleb Ray,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM175634,2026-10-28-PM175634,Equipment Service Daily Activity for Brie Kelley,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM175636,2026-10-28-PM175636,Equipment Service Daily Activity for Chris Carr,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM175641,2026-10-28-PM175641,Equipment Service Daily Activity for Kevin Turner,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM176664,2026-10-28-PM176664,Equipment Service Daily Activity for Ben Davidson,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM177636,2026-10-28-PM177636,Equipment Service Daily Activity for Brandon Acosta,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM177637,2026-10-28-PM177637,Equipment Service Daily Activity for Alan Harper,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM177638,2026-10-28-PM177638,Equipment Service Daily Activity for Nijal Wilcox,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
PM196498,2027-03-28-PM196498,Equipment Service Daily Activity for Garrett Webb,ENGINE ASSEMBLY,1-MONTHS,96.0,64.0,13
