"PMNUM","TIMES_SCHEDULED","TIMES_ONTIME","TIMES_LATE","TIMES_NOT_COMPLETED","AVG_PLANNED_HRS","AVG_ACTUAL_HRS"
PM107288,12,3,7,2,1.1666666666666667,0.5638888888888888
PM107289,12,2,8,2,1.1666666666666667,0.4874999999999999
PM107290,12,2,8,2,1.1666666666666667,0.5680555555555554
PM125638,6,4,0,2,2.0,1.1666666666666667
PM135812,12,10,0,2,2.5,2.0
PM136020,4,2,0,2,4.0,1.5
PM136021,4,2,0,2,4.0,2.0
PM139588,6,1,3,2,0.5833333333333334,0.3361111111111111
PM139589,6,1,3,2,0.5833333333333334,0.3361111111111111
PM139590,6,1,3,2,0.5833333333333334,0.35833333333333334
PM139591,6,1,3,2,0.5833333333333334,0.35833333333333334
PM139592,6,1,3,2,0.5833333333333334,0.35833333333333334
PM154201,2,0,0,2,6.0,0.0
PM155022,7,4,1,2,0.42857142857142855,1.1857142857142857
PM162661,10,8,0,2,3.0,1.75
PM163994,2,0,0,2,4.0,0.0
PM164257,3,1,0,2,6.0,2.0
PM164258,3,0,1,2,6.0,0.0
PM165365,12,10,0,2,2.0,2.0
PM165367,12,10,0,2,2.0,1.6666666666666667
PM166628,2,0,0,2,3.0,0.0
PM171160,4,2,0,2,1.0,0.5
PM174339,2,0,0,2,0.5,0.0
PM174340,2,0,0,2,0.5,0.0
PM174342,2,0,0,2,0.5,0.0
PM174343,2,0,0,2,0.5,0.0
PM174647,2,0,0,2,0.5,0.0
PM176443,2,0,0,2,8.0,0.0
PM176444,2,0,0,2,8.0,0.0
PM185884,14,12,0,2,4.0,2.5714285714285716
PM187027,2,0,0,2,3.0,0.0
PM187028,2,0,0,2,5.0,0.0
PM187029,2,0,0,2,8.0,0.0
PM187030,2,0,0,2,5.0,0.0
PM187032,2,0,0,2,3.0,0.0
PM187033,2,0,0,2,5.0,0.0
PM103888,12,11,0,1,1.1666666666666665,0.9999999999999999
PM104127,3,2,0,1,1.5,1.1666666666666667
PM104130,3,2,0,1,1.0,0.5
PM104134,2,1,0,1,5.0,2.0
PM104160,364,363,0,1,0.5,0.5041208791208791
PM104161,364,361,2,1,0.5,0.5123626373626373
PM104200,2,1,0,1,1.5,0.5
PM104237,52,49,2,1,1.0,0.9907051282051282
PM104239,1,0,0,1,15.0,0.0
PM104244,1,0,0,1,16.0,0.0
PM104248,1,0,0,1,40.0,0.0
PM104310,2,1,0,1,2.5,1.25
PM104311,2,1,0,1,2.5,1.25
PM104318,2,1,0,1,2.5,1.25
PM104346,2,1,0,1,2.5,0.5
PM104372,2,1,0,1,2.5,1.25
PM104373,2,1,0,1,2.5,0.75
PM104385,2,1,0,1,2.5,1.25
PM104419,12,11,0,1,0.5,0.4583333333333333
PM104423,6,5,0,1,1.5,1.1666666666666667
PM104438,1,0,0,1,0.5,0.0
PM104459,4,2,1,1,2.0,1.0
PM104518,12,11,0,1,2.5,2.5
PM104590,4,2,1,1,2.5,1.25
PM104591,5,3,1,1,2.5,0.6
PM104640,12,11,0,1,1.0,0.9166666666666666
PM104693,260,258,1,1,0.5,0.4980769230769231
PM104704,2,1,0,1,0.5,0.25
PM104715,12,11,0,1,2.0,1.5416666666666667
PM104728,1,0,0,1,3.5,0.0
PM104730,52,50,1,1,1.5,1.423397435897436
PM104772,2,0,1,1,3.0,1.5
PM104773,2,0,1,1,3.0,0.0
PM104777,2,1,0,1,30.0,11.75
PM104800,2,1,0,1,1.5,0.75
PM104801,2,1,0,1,1.5,0.75
PM104805,2,1,0,1,1.5,0.75
PM104823,1,0,0,1,160.0,0.0
PM104824,1,0,0,1,160.0,0.0
PM104825,1,0,0,1,160.0,0.0
PM104826,1,0,0,1,160.0,0.0
PM104827,1,0,0,1,160.0,0.0
PM104828,1,0,0,1,160.0,0.0
PM104830,1,0,0,1,160.0,0.0
PM104832,4,3,0,1,4.0,3.0
PM104836,5,4,0,1,4.0,3.2
PM104840,12,11,0,1,2.0,1.8333333333333333
PM104841,12,11,0,1,2.0,2.0
PM104845,12,11,0,1,2.0,1.7083333333333333
PM104861,12,11,0,1,2.0,1.7083333333333333
PM104879,12,10,1,1,3.0,2.2916666666666665
PM104953,3,2,0,1,3.0,1.8333333333333333
PM104954,4,3,0,1,3.0,1.75
PM104959,2,1,0,1,5.0,2.5
PM105162,1,0,0,1,1.5,0.0
PM105168,1,0,0,1,1.5,0.0
PM105170,1,0,0,1,1.5,0.0
PM105175,4,2,1,1,1.5,1.0041666666666667
PM105176,29,27,1,1,1.5,1.4833333333333334
PM105179,34,14,19,1,1.5,1.677450980392157
PM105180,48,8,39,1,1.5,1.8340277777777778
PM105184,2,1,0,1,1.5,0.008333333333333333
PM105186,4,2,1,1,1.5,0.8791666666666667
PM105277,52,48,3,1,1.5,1.683974358974359
PM105291,52,47,4,1,2.0,1.8173076923076923
PM105300,1,0,0,1,2.0,0.0
PM105309,26,25,0,1,7.0,6.653846153846154
PM105314,1,0,0,1,36.0,0.0
PM105362,52,48,3,1,1.0,1.0769230769230769
PM105363,4,3,0,1,1.5,1.125
PM105384,4,3,0,1,1.5,1.125
PM105385,2,1,0,1,1.5,0.75
PM105408,4,3,0,1,10.0,3.25
PM105425,53,47,5,1,2.0,1.4732704402515722
PM105427,52,41,10,1,2.0,1.5868589743589743
PM105436,1,0,0,1,1.0,0.0
PM105451,3,2,0,1,4.0,2.6666666666666665
PM105452,2,0,1,1,4.0,2.0
PM105464,2,0,1,1,1.5,1.25
PM105474,3,1,1,1,3.0,1.8333333333333333
PM105499,3,2,0,1,3.0,3.0
PM105519,2,1,0,1,5.0,0.5
PM105545,12,11,0,1,1.0,1.0833333333333333
PM105565,2,1,0,1,1.5,0.5
PM105567,12,11,0,1,1.0,0.875
PM105568,2,1,0,1,2.5,1.0
PM105575,4,3,0,1,2.5,0.375
PM105585,6,5,0,1,1.0,1.1666666666666667
PM105586,6,5,0,1,1.4166666666666667,1.5
PM105589,12,11,0,1,2.0,1.8333333333333333
PM105598,4,1,2,1,2.625,1.25
PM105630,12,7,4,1,3.0,3.5
PM105644,5,4,0,1,3.0,2.0
PM105645,5,4,0,1,3.0,1.8
PM105660,12,11,0,1,2.5,2.4166666666666665
PM105667,4,2,1,1,2.5,1.25
PM105681,4,2,1,1,2.5,1.0
PM105682,4,2,1,1,2.5,1.25
PM105688,4,3,0,1,2.5,1.75
PM105700,4,2,1,1,2.5,0.75
PM105708,4,1,2,1,2.5,1.25
PM105749,1,0,0,1,2.5,0.0
PM105786,3,2,0,1,4.0,3.0
PM105793,2,1,0,1,11.0,2.0
PM105798,3,1,1,1,2.5,0.8333333333333334
PM105833,1,0,0,1,16.0,0.0
PM105841,2,0,1,1,11.0,1.0
PM105842,2,1,0,1,11.0,2.0
PM105844,2,1,0,1,11.0,3.0
PM105848,1,0,0,1,16.0,0.0
PM105849,1,0,0,1,16.0,0.0
PM105852,2,1,0,1,11.0,2.0
PM105873,1,0,0,1,16.0,0.0
PM105874,1,0,0,1,16.0,0.0
PM105885,1,0,0,1,20.0,0.0
PM105886,1,0,0,1,20.0,0.0
PM105900,2,1,0,1,1.5,0.5
PM105902,2,1,0,1,1.5,0.75
PM105929,4,3,0,1,1.5,1.125
PM105939,2,1,0,1,1.5,0.75
PM105940,2,1,0,1,1.5,0.75
PM105959,2,1,0,1,1.5,0.75
PM105968,2,1,0,1,1.5,0.75
PM105978,2,1,0,1,1.5,0.75
PM106002,2,1,0,1,1.5,0.75
PM106003,2,1,0,1,1.5,0.75
PM106061,2,1,0,1,1.5,0.75
PM106075,4,2,1,1,11.0,2.375
PM106080,12,6,5,1,2.375,1.5833333333333333
PM106097,4,3,0,1,1.0,0.875
PM106098,4,3,0,1,1.0,0.875
PM106104,15,14,0,1,0.5,0.4666666666666667
PM106127,2,1,0,1,1.0,0.5
PM106204,4,3,0,1,3.0,2.0
PM106243,1,0,0,1,0.0,0.0
PM106258,1,0,0,1,0.0,0.0
PM106273,1,0,0,1,0.0,0.0
PM106314,80,13,66,1,1.5,1.9066666666666667
PM106324,10,9,0,1,2.0,1.8
PM106326,52,49,2,1,5.0,4.423076923076923
PM106327,365,362,2,1,2.0,2.0863013698630137
PM106328,365,357,7,1,2.0,2.0575342465753423
PM106341,1,0,0,1,8.0,0.0
PM106343,12,11,0,1,1.5,1.375
PM106344,12,11,0,1,1.5,1.375
PM106348,52,48,3,1,0.5,0.5769230769230769
PM106349,52,49,2,1,0.5,0.5673076923076923
PM106350,12,11,0,1,0.5,0.4583333333333333
PM106424,1,0,0,1,3.0,0.0
PM106472,2,0,1,1,1.0,0.5
PM106473,2,0,1,1,1.0,0.5
PM106474,2,0,1,1,1.0,0.5
PM106475,2,0,1,1,1.0,0.5
PM106476,2,0,1,1,1.0,0.5
PM106478,2,0,1,1,1.0,0.5
PM106481,2,0,1,1,1.0,0.5
PM106482,2,0,1,1,1.0,0.5
PM106487,2,0,1,1,1.0,0.5
PM106488,2,1,0,1,1.0,0.5
PM106489,2,1,0,1,1.0,0.5
PM106490,2,0,1,1,1.0,0.5
PM106491,2,0,1,1,1.0,0.5
PM106492,2,0,1,1,1.0,0.5
PM106497,2,1,0,1,0.4166666666666667,0.20833333333333334
PM106498,2,0,1,1,0.4166666666666667,0.20833333333333334
PM106583,12,3,8,1,0.3333333333333333,0.16944444444444443
PM106590,12,2,9,1,0.977777777777778,0.6249999999999999
PM106591,12,2,9,1,0.977777777777778,0.6249999999999999
PM106628,6,2,3,1,0.3333333333333333,0.16666666666666666
PM106629,6,2,3,1,0.3333333333333333,0.25
PM106851,4,1,2,1,3.0,2.375
PM106890,12,3,8,1,1.0833333333333333,0.5222222222222223
PM106892,12,3,8,1,0.5,0.3111111111111111
PM106893,4,1,2,1,1.2,0.32916666666666666
PM106894,4,1,2,1,1.2,0.32916666666666666
PM106895,4,1,2,1,1.2,0.32916666666666666
PM106907,12,3,8,1,0.977777777777778,0.584722222222222
PM106908,12,3,8,1,0.977777777777778,0.584722222222222
PM106909,12,3,8,1,1.5833333333333333,0.6124999999999999
PM106910,12,3,8,1,1.5833333333333333,0.6124999999999999
PM107062,12,2,9,1,0.977777777777778,0.4000000000000001
PM107063,12,3,8,1,0.9166666666666666,0.5444444444444444
PM107064,12,2,9,1,0.75,0.4611111111111111
PM107065,12,2,9,1,0.6666666666666666,0.41250000000000003
PM107066,12,3,8,1,0.9166666666666666,0.5444444444444444
PM107067,12,3,8,1,0.9166666666666666,0.5444444444444444
PM107071,12,3,8,1,1.5833333333333333,0.8624999999999998
PM107132,4,2,1,1,0.3333333333333333,0.029166666666666664
PM107133,4,2,1,1,0.3333333333333333,0.029166666666666664
PM107134,4,2,1,1,0.3333333333333333,0.029166666666666664
PM107139,4,2,1,1,0.3333333333333333,0.029166666666666664
PM107140,4,2,1,1,0.3333333333333333,0.029166666666666664
PM107141,4,2,1,1,0.3333333333333333,0.029166666666666664
PM107142,4,2,1,1,0.3333333333333333,0.029166666666666664
PM107143,4,2,1,1,0.3333333333333333,0.029166666666666664
PM107152,2,0,1,1,0.6666666666666666,0.25
PM107159,2,0,1,1,3.0,1.5
PM107160,2,0,1,1,3.0,1.5
PM107161,2,0,1,1,1.7083333333333333,1.5833333333333333
PM107274,12,4,7,1,1.1666666666666667,0.6819444444444445
PM107284,12,3,8,1,0.5,0.3111111111111111
PM107286,12,3,8,1,0.5,0.30694444444444446
PM107287,12,4,7,1,2.0,1.1416666666666668
PM107291,12,2,9,1,1.7805555555555557,0.46388888888888885
PM109521,4,3,0,1,1.0,0.75
PM109798,1,0,0,1,12.0,0.25
PM109803,1,0,0,1,16.0,0.5
PM133465,30,28,1,1,1.0,1.2
PM133466,260,257,2,1,8.0,7.535256410256411
PM133467,30,27,2,1,1.0,0.8333333333333334
PM135046,52,50,1,1,1.0,0.9330128205128205
PM135047,52,50,1,1,1.0,0.9330128205128205
PM136018,3,2,0,1,4.0,2.6666666666666665
PM136019,3,2,0,1,4.0,2.6666666666666665
PM136022,4,3,0,1,4.0,2.5
PM136024,4,3,0,1,4.0,3.0
PM136025,4,3,0,1,4.0,3.0
PM136027,4,3,0,1,4.0,3.0
PM136348,1,0,0,1,2.5,0.0
PM136349,1,0,0,1,2.5,0.0
PM136350,1,0,0,1,2.5,0.0
PM137973,1,0,0,1,0.0,0.0
PM137975,1,0,0,1,0.0,0.0
PM137977,1,0,0,1,0.0,0.0
PM137979,1,0,0,1,0.0,0.0
PM137981,1,0,0,1,0.0,0.0
PM137983,1,0,0,1,0.0,0.0
PM138426,4,1,2,1,0.5,0.3125
PM138973,52,49,2,1,3.0,2.9423076923076925
PM139574,1,0,0,1,1.0,0.0
PM139575,1,0,0,1,1.0,0.0
PM139576,1,0,0,1,1.0,0.0
PM139577,1,0,0,1,1.0,0.0
PM139578,1,0,0,1,1.0,0.0
PM139579,1,0,0,1,1.0,0.0
PM139580,1,0,0,1,1.0,0.0
PM139583,6,1,4,1,0.5833333333333334,0.37777777777777777
PM139584,6,1,4,1,0.5833333333333334,0.37777777777777777
PM139585,6,1,4,1,0.5833333333333334,0.37777777777777777
PM139586,6,1,4,1,0.5833333333333334,0.37777777777777777
PM139587,6,1,4,1,0.5833333333333334,0.37777777777777777
